strategy_id,reason,day,n,first_seen_ts,last_seen_ts
baseline_v1,hours_to_res=-4.5 < 72,2026-05-03,4,1777782456,1777782512
baseline_v1,"entry_price=0.420 outside [0.1, 0.4)",2026-05-03,4,1777776108,1777789666
baseline_v1,"entry_price=0.870 outside [0.1, 0.4)",2026-05-02,4,1777754540,1777763516
baseline_v1,"entry_price=0.981 outside [0.1, 0.4)",2026-05-03,4,1777780658,1777800306
baseline_v1,"entry_price=0.042 outside [0.1, 0.4)",2026-05-03,4,1777768008,1777801184
baseline_v1,"entry_price=0.890 outside [0.1, 0.4)",2026-05-02,4,1777760878,1777761712
baseline_v1,"entry_price=0.017 outside [0.1, 0.4)",2026-05-02,4,1777752766,1777757246
baseline_v1,"entry_price=0.730 outside [0.1, 0.4)",2026-05-02,4,1777754546,1777766268
baseline_v1,hours_to_res=-493833.2 < 72,2026-05-03,4,1777799594,1777799604
baseline_v1,hours_to_res=-493828.7 < 72,2026-05-03,4,1777783352,1777783372
baseline_v1,"entry_price=0.021 outside [0.1, 0.4)",2026-05-02,4,1777759976,1777764410
baseline_v1,hours_to_res=-493829.0 < 72,2026-05-03,3,1777784314,1777784336
baseline_v1,hours_to_res=5811.3 > 2160h cap (=90.0d),2026-05-02,3,1777754490,1777754568
baseline_v1,hours_to_res=-493829.2 < 72,2026-05-03,3,1777785156,1777785182
baseline_v1,price out of bounds: 0.9969999999924786,2026-05-03,3,1777799600,1777799600
baseline_v1,"entry_price=0.972 outside [0.1, 0.4)",2026-05-03,3,1777777928,1777802386
baseline_v1,"entry_price=0.540 outside [0.1, 0.4)",2026-05-03,3,1777770780,1777772556
baseline_v1,price out of bounds: 0.9969999999864547,2026-05-03,3,1777799600,1777799600
baseline_v1,"entry_price=0.026 outside [0.1, 0.4)",2026-05-02,3,1777759974,1777766262
baseline_v1,hours_to_res=-493835.0 < 72,2026-05-03,3,1777805888,1777805908
baseline_v1,"entry_price=0.992 outside [0.1, 0.4)",2026-05-03,3,1777769880,1777801462
baseline_v1,"entry_price=0.050 outside [0.1, 0.4)",2026-05-02,3,1777753570,1777763516
baseline_v1,"entry_price=0.959 outside [0.1, 0.4)",2026-05-03,3,1777773482,1777790574
baseline_v1,"entry_price=0.008 outside [0.1, 0.4)",2026-05-02,3,1777752730,1777758118
baseline_v1,"entry_price=0.966 outside [0.1, 0.4)",2026-05-03,3,1777787942,1777806776
baseline_v1,"entry_price=0.927 outside [0.1, 0.4)",2026-05-03,3,1777768970,1777772570
baseline_v1,"entry_price=0.410 outside [0.1, 0.4)",2026-05-03,3,1777775260,1777776162
baseline_v1,price out of bounds: 0.9969999999814165,2026-05-03,3,1777799598,1777799600
baseline_v1,hours_to_res=-493826.0 < 72,2026-05-03,3,1777773476,1777773492
baseline_v1,"entry_price=0.070 outside [0.1, 0.4)",2026-05-02,3,1777756374,1777759002
baseline_v1,"entry_price=0.900 outside [0.1, 0.4)",2026-05-02,3,1777756298,1777764460
baseline_v1,price out of bounds: 0.9969999997242013,2026-05-03,3,1777796656,1777796656
baseline_v1,"entry_price=0.080 outside [0.1, 0.4)",2026-05-02,3,1777754510,1777759014
baseline_v1,"entry_price=0.939 outside [0.1, 0.4)",2026-05-03,3,1777780666,1777794202
baseline_v1,"entry_price=0.941 outside [0.1, 0.4)",2026-05-03,3,1777794266,1777794266
baseline_v1,"entry_price=0.580 outside [0.1, 0.4)",2026-05-02,3,1777761772,1777761784
baseline_v1,hours_to_res=-493826.5 < 72,2026-05-03,3,1777775232,1777775312
baseline_v1,"entry_price=0.620 outside [0.1, 0.4)",2026-05-03,3,1777770782,1777794248
baseline_v1,"entry_price=0.920 outside [0.1, 0.4)",2026-05-02,3,1777759976,1777766280
baseline_v1,"entry_price=0.024 outside [0.1, 0.4)",2026-05-02,3,1777754578,1777757266
baseline_v1,"entry_price=0.839 outside [0.1, 0.4)",2026-05-02,3,1777752762,1777752764
baseline_v1,"entry_price=0.943 outside [0.1, 0.4)",2026-05-03,3,1777778878,1777786092
baseline_v1,"entry_price=0.510 outside [0.1, 0.4)",2026-05-03,3,1777770744,1777804768
baseline_v1,"entry_price=0.570 outside [0.1, 0.4)",2026-05-02,3,1777761764,1777764478
baseline_v1,hours_to_res=-493832.0 < 72,2026-05-03,3,1777795086,1777795120
baseline_v1,price out of bounds: 0.9969999999715264,2026-05-03,3,1777799580,1777799580
baseline_v1,hours_to_res=0.0 < 72,2026-05-02,3,1777766274,1777766292
baseline_v1,"entry_price=0.992 outside [0.1, 0.4)",2026-05-02,3,1777758166,1777764396
baseline_v1,"entry_price=0.647 outside [0.1, 0.4)",2026-05-03,3,1777772530,1777772536
baseline_v1,price out of bounds: 0.9969999999577182,2026-05-03,3,1777799632,1777799634
baseline_v1,"entry_price=0.040 outside [0.1, 0.4)",2026-05-03,3,1777768056,1777803888
baseline_v1,"entry_price=0.660 outside [0.1, 0.4)",2026-05-02,3,1777752728,1777758180
baseline_v1,"entry_price=0.964 outside [0.1, 0.4)",2026-05-03,3,1777773514,1777806794
baseline_v1,category=unknown not in strategy whitelist,2026-05-03,3,1777770762,1777805900
baseline_v1,"entry_price=0.014 outside [0.1, 0.4)",2026-05-03,3,1777793032,1777804998
